Price,Close,High,Low,Open,Volume,returns
Ticker,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,
Date,,,,,,
2026-02-19,22682.73046875,22768.830078125,22583.609375,22639.880859375,6984780000,-0.0031160033782383634
2026-02-20,22886.0703125,22948.869140625,22539.05078125,22542.279296875,8063070000,0.008964522328127167
2026-02-23,22627.26953125,22893.220703125,22547.119140625,22840.970703125,8263920000,-0.011308222762413167
2026-02-24,22863.6796875,22895.48046875,22528.259765625,22641.599609375,7932270000,0.01044801963062758
2026-02-25,23152.080078125,23169.6796875,23004.689453125,23005.009765625,8427450000,0.012613909684129787
2026-02-26,22878.380859375,23109.4609375,22670.80078125,23100.580078125,9033470000,-0.011821798206745227
2026-02-27,22668.2109375,22735.779296875,22538.30078125,22615.4296875,9552610000,-0.00918639842420832
2026-03-02,22748.859375,22802.80078125,22306.080078125,22322.119140625,8303030000,0.0035577769115684443
2026-03-03,22516.689453125,22601.58984375,22124.779296875,22292.369140625,9705500000,-0.010205782982251166
2026-03-04,22807.48046875,22891.880859375,22570.669921875,22620.890625,10918410000,0.012914465789047869
2026-03-05,22748.990234375,22877.01953125,22500.2890625,22707.470703125,10994660000,-0.0025645197616256388
2026-03-06,22387.6796875,22614.41015625,22328.130859375,22421.169921875,9300220000,-0.015882487229215148
2026-03-09,22695.94921875,22741.029296875,22061.970703125,22184.05078125,9797740000,0.01376960612055389
2026-03-10,22697.099609375,22906.720703125,22608.23046875,22722.939453125,8800580000,5.0687046129427316e-05
2026-03-11,22716.130859375,22877.7109375,22602.330078125,22771.26953125,8348570000,0.0008384881913343634
2026-03-12,22311.98046875,22550.75,22290.48046875,22526.58984375,8490850000,-0.0177913392525737
2026-03-13,22105.359375,22521.380859375,22069.240234375,22425.69921875,8278740000,-0.009260544757082045
2026-03-16,22374.1796875,22521.58984375,22316.630859375,22340.390625,8208800000,0.012160865966468926
2026-03-17,22479.529296875,22569.640625,22409.0703125,22458.029296875,8505210000,0.004708535054532392
2026-03-18,22152.419921875,22461.759765625,22144.759765625,22421.9609375,9325170000,-0.014551433469982555
2026-03-19,22090.689453125,22187.060546875,21851.05078125,21871.0390625,8547870000,-0.0027866241687231064
2026-03-20,21647.609375,21997.08984375,21522.75,21989.330078125,11743490000,-0.020057322297033164
2026-03-23,21946.759765625,22189.33984375,21865.80078125,21995.779296875,8895880000,0.013819095930771796
2026-03-24,21761.890625,21916.16015625,21712.0390625,21807.599609375,8488380000,-0.008423527782655094
2026-03-25,21929.8203125,22093.1796875,21865.4609375,22006.4296875,8056920000,0.007716686495385705
2026-03-26,21408.080078125,21823.580078125,21395.76953125,21693.1796875,7726590000,-0.023791359297075876
2026-03-27,20948.359375,21293.5,20909.9296875,21287.189453125,8713310000,-0.021474167765036856
2026-03-30,20794.640625,21139.720703125,20690.25,21096.240234375,9234380000,-0.0073379851494933535
2026-03-31,21590.630859375,21642.619140625,21063.380859375,21064.330078125,10645070000,0.03827862422484163
